Silver Rate(BDT/GRAM),,,,
Date,22 KARAT Silver,21 KARAT Silver,18 KARAT Silver,TRADITIONAL Silver
28:October:2024,180,172,147,110
29:October:2024,180,172,147,110
30:October:2024,180,172,147,110
31:October:2024,180,172,147,110
01:November:2024,180,172,147,110
02:November:2024,180,172,147,110
04:November:2024,235,225,192,144
05:November:2024,235,225,192,144
06:November:2024,235,225,192,144
07:November:2024,235,225,192,144
08:November:2024,225,218,184,138
09:November:2024,225,218,184,138
10:November:2024,225,218,184,138
11:November:2024,225,218,184,138
12:November:2024,225,218,184,138
13:November:2024,221,210,181,136
14:November:2024,221,210,181,136
15:November:2024,221,210,181,136
16:November:2024,221,210,181,136
17:November:2024,221,210,181,136
18:November:2024,221,210,181,136
19:November:2024,221,210,181,136
20:November:2024,221,210,181,136
21:November:2024,221,210,181,136
22:November:2024,221,210,181,136
23:November:2024,221,210,181,136
24:November:2024,221,210,181,136
25:November:2024,221,210,181,136
26:November:2024,221,210,181,136
27:November:2024,221,210,181,136
28:November:2024,221,210,181,136
29:November:2024,221,210,181,136
30:November:2024,221,210,181,136
01:December:2024,221,210,181,136
02:December:2024,221,210,181,136
03:December:2024,221,210,181,136
04:December:2024,221,210,181,136
05:December:2024,221,210,181,136
06:December:2024,221,210,181,136
06:December:2024,221,210,181,136
07:December:2024,221,210,181,136
08:December:2024,221,210,181,136
09:December:2024,221,210,181,136
10:December:2024,221,210,181,136
11:December:2024,221,210,181,136
12:December:2024,221,210,181,136
13:December:2024,221,210,181,136
14:December:2024,221,210,181,136
15:December:2024,221,210,181,136
16:December:2024,221,210,181,136
17:December:2024,221,210,181,136
18:December:2024,221,210,181,136
19:December:2024,221,210,181,136
20:December:2024,221,210,181,136
21:December:2024,221,210,181,136
22:December:2024,221,210,181,136
23:December:2024,221,210,181,136
24:December:2024,221,210,181,136
25:December:2024,221,210,181,136
26:December:2024,221,210,181,136
27:December:2024,221,210,181,136
28:December:2024,221,210,181,136
29:December:2024,221,210,181,136
30:December:2024,221,210,181,136
31:December:2024,221,210,181,136
02:January:2025,221,210,181,136
03:January:2025,221,210,181,136
04:January:2025,221,210,181,136
05:January:2025,221,210,181,136
06:January:2025,221,210,181,136
07:January:2025,221,210,181,136
08:January:2025,221,210,181,136
09:January:2025,221,210,181,136
10:January:2025,221,210,181,136
11:January:2025,221,210,181,136
12:January:2025,221,210,181,136
13:January:2025,221,210,181,136
14:January:2025,221,210,181,136
15:January:2025,221,210,181,136
17:January:2025,221,210,181,136
17:January:2025,221,210,181,136
18:January:2025,221,210,181,136
19:January:2025,221,210,181,136
20:January:2025,221,210,181,136
21:January:2025,221,210,181,136
22:January:2025,221,210,181,136
24:January:2025,221,210,181,136
25:January:2025,221,210,181,136
26:January:2025,221,210,181,136
27:January:2025,221,210,181,136
28:January:2025,221,210,181,136
29:January:2025,221,210,181,136
01:February:2025,221,210,181,136
01:February:2025,221,210,181,136
01:February:2025,221,210,181,136
02:February:2025,221,210,181,136
03:February:2025,221,210,181,136
04:February:2025,221,210,181,136
05:February:2025,221,210,181,136
06:February:2025,221,210,181,136
07:February:2025,221,210,181,136
08:February:2025,221,210,181,136
09:February:2025,221,210,181,136
10:February:2025,221,210,181,136
11:February:2025,221,210,181,136
12:February:2025,221,210,181,136
13:February:2025,221,210,181,136
14:February:2025,221,210,181,136
15:February:2025,221,210,181,136
16:February:2025,221,210,181,136
17:February:2025,221,210,181,136
18:February:2025,221,210,181,136
19:February:2025,221,210,181,136
20:February:2025,221,210,181,136
21:February:2025,221,210,181,136
22:February:2025,221,210,181,136
23:February:2025,221,210,181,136
24:February:2025,221,210,181,136
25:February:2025,221,210,181,136
26:February:2025,221,210,181,136
27:February:2025,221,210,181,136
28:February:2025,221,210,181,136
01:March:2025,221,210,181,136
02:March:2025,221,210,181,136
03:March:2025,221,210,181,136
04:March:2025,221,210,181,136
05:March:2025,221,210,181,136
06:March:2025,221,210,181,136
07:March:2025,221,210,181,136
08:March:2025,221,210,181,136
09:March:2025,221,210,181,136
10:March:2025,221,210,181,136
11:March:2025,221,210,181,136
12:March:2025,221,210,181,136
13:March:2025,221,210,181,136
14:March:2025,221,210,181,136
15:March:2025,221,210,181,136
16:March:2025,221,210,181,136
17:March:2025,221,210,181,136
18:March:2025,221,210,181,136
19:March:2025,221,210,181,136
20:March:2025,221,210,181,136
21:March:2025,221,210,181,136
22:March:2025,221,210,181,136
23:March:2025,221,210,181,136
24:March:2025,221,210,181,136
25:March:2025,221,210,181,136
26:March:2025,221,210,181,136
27:March:2025,221,210,181,136
28:March:2025,221,210,181,136
29:March:2025,221,210,181,136
30:March:2025,221,210,181,136
31:March:2025,221,210,181,136
01:April:2025,221,210,181,136
02:April:2025,221,210,181,136
03:April:2025,221,210,181,136
04:April:2025,221,210,181,136
05:April:2025,221,210,181,136
06:April:2025,221,210,181,136
07:April:2025,221,210,181,136
08:April:2025,221,210,181,136
09:April:2025,221,210,181,136
10:April:2025,221,210,181,136
11:April:2025,221,210,181,136
12:April:2025,221,210,181,136
13:April:2025,221,210,181,136
14:April:2025,221,210,181,136
15:April:2025,221,210,181,136
16:April:2025,221,210,181,136
17:April:2025,221,210,181,136
18:April:2025,221,210,181,136
19:April:2025,221,210,181,136
20:April:2025,221,210,181,136
21:April:2025,221,210,181,136
22:April:2025,221,210,181,136
23:April:2025,244,233,200,150
24:April:2025,244,233,200,150
25:April:2025,244,233,200,150
26:April:2025,244,233,200,150
27:April:2025,244,233,200,150
28:April:2025,244,233,200,150
29:April:2025,244,233,200,150
30:April:2025,244,233,200,150
01:May:2025,244,233,200,150
02:May:2025,244,233,200,150
03:May:2025,244,233,200,150
04:May:2025,241,230,197,148
05:May:2025,241,230,197,148
06:May:2025,241,230,197,148
07:May:2025,241,230,197,148
08:May:2025,241,230,197,148
09:May:2025,241,230,197,148
10:May:2025,241,230,197,148
11:May:2025,241,230,197,148
12:May:2025,241,230,197,148
13:May:2025,241,230,197,148
14:May:2025,241,230,197,148
15:May:2025,241,230,197,148
16:May:2025,241,230,197,148
17:May:2025,241,230,197,148
18:May:2025,241,230,197,148
19:May:2025,241,230,197,148
20:May:2025,241,230,197,148
21:May:2025,241,230,197,148
22:May:2025,241,230,197,148
23:May:2025,241,230,197,148
24:May:2025,241,230,197,148
25:May:2025,241,230,197,148
26:May:2025,241,230,197,148
27:May:2025,241,230,197,148
28:May:2025,241,230,197,148
29:May:2025,241,230,197,148
30:May:2025,241,230,197,148
31:May:2025,241,230,197,148
01:June:2025,241,230,197,148
02:June:2025,241,230,197,148
03:June:2025,241,230,197,148
04:June:2025,241,230,197,148
05:June:2025,241,230,197,148
06:June:2025,241,230,197,148
07:June:2025,241,230,197,148
08:June:2025,241,230,197,148
09:June:2025,241,230,197,148
10:June:2025,241,230,197,148
11:June:2025,241,230,197,148
12:June:2025,241,230,197,148
13:June:2025,241,230,197,148
14:June:2025,241,230,197,148
15:June:2025,241,230,197,148
16:June:2025,241,230,197,148
17:June:2025,241,230,197,148
18:June:2025,241,230,197,148
19:June:2025,241,230,197,148
20:June:2025,241,230,197,148
21:June:2025,241,230,197,148
22:June:2025,241,230,197,148
23:June:2025,241,230,197,148
24:June:2025,241,230,197,148
25:June:2025,241,230,197,148
26:June:2025,241,230,197,148
27:June:2025,241,230,197,148
28:June:2025,241,230,197,148
29:June:2025,241,230,197,148
30:June:2025,241,230,197,148
01:July:2025,241,230,197,148
02:July:2025,241,230,197,148
03:July:2025,241,230,197,148
04:July:2025,241,230,197,148
05:July:2025,241,230,197,148
06:July:2025,241,230,197,148
07:July:2025,241,230,197,148
08:July:2025,241,230,197,148
09:July:2025,241,230,197,148
10:July:2025,241,230,197,148
11:July:2025,241,230,197,148
12:July:2025,241,230,197,148
13:July:2025,241,230,197,148
14:July:2025,241,230,197,148
15:July:2025,241,230,197,148
16:July:2025,241,230,197,148
17:July:2025,241,230,197,148
18:July:2025,241,230,197,148
19:July:2025,241,230,197,148
20:July:2025,241,230,197,148
21:July:2025,241,230,197,148
22:July:2025,241,230,197,148
23:July:2025,241,230,197,148
24:July:2025,241,230,197,148
25:July:2025,241,230,197,148
26:July:2025,241,230,197,148
27:July:2025,241,230,197,148
28:July:2025,241,230,197,148
29:July:2025,241,230,197,148
30:July:2025,241,230,197,148
31:July:2025,241,230,197,148
01:August:2025,241,230,197,148
02:August:2025,241,230,197,148
03:August:2025,241,230,197,148
04:August:2025,241,230,197,148
05:August:2025,241,230,197,148
06:August:2025,241,230,197,148
07:August:2025,241,230,197,148
08:August:2025,241,230,197,148
09:August:2025,241,230,197,148
10:August:2025,241,230,197,148
11:August:2025,241,230,197,148
12:August:2025,241,230,197,148
13:August:2025,241,230,197,148
14:August:2025,241,230,197,148
15:August:2025,241,230,197,148
16:August:2025,241,230,197,148
17:August:2025,241,230,197,148
18:August:2025,241,230,197,148
19:August:2025,241,230,197,148
20:August:2025,241,230,197,148
21:August:2025,241,230,197,148
22:August:2025,241,230,197,148
23:August:2025,241,230,197,148
24:August:2025,241,230,197,148
25:August:2025,241,230,197,148
26:August:2025,241,230,197,148
27:August:2025,241,230,197,148
28:August:2025,241,230,197,148
29:August:2025,241,230,197,148
30:August:2025,241,230,197,148
31:August:2025,241,230,197,148
01:September:2025,241,230,197,148
02:September:2025,241,230,197,148
03:September:2025,241,230,197,148
04:September:2025,241,230,197,148
05:September:2025,241,230,197,148
06:September:2025,241,230,197,148
07:September:2025,241,230,197,148
08:September:2025
09:September:2025
10:September:2025
11:September:2025
12:September:2025
13:September:2025
14:September:2025
15:September:2025
16:September:2025
17:September:2025
18:September:2025
19:September:2025
20:September:2025
21:September:2025
22:September:2025
23:September:2025
24:September:2025
25:September:2025
26:September:2025
27:September:2025
28:September:2025
29:September:2025
30:September:2025
01:October:2025
02:October:2025
03:October:2025
04:October:2025
05:October:2025
06:October:2025
07:October:2025
08:October:2025
09:October:2025
10:October:2025
11:October:2025
12:October:2025
13:October:2025
14:October:2025
15:October:2025
16:October:2025
17:October:2025
18:October:2025
19:October:2025
20:October:2025
21:October:2025
22:October:2025
23:October:2025
24:October:2025
25:October:2025
26:October:2025
27:October:2025
28:October:2025
29:October:2025
30:October:2025
31:October:2025
01:November:2025
02:November:2025
03:November:2025
04:November:2025
05:November:2025
